#{"t_start": 1742503441.666784, "env_id": "None"}
r,l,t
-25.0,15,8.415209
-115.0,20,8.417844
-15.0,11,8.419309
-50.0,25,8.422736
-40.0,21,8.425537
30.0,8,8.426602
-10.0,15,8.428639
-20.0,19,8.431316
-120.0,16,8.433497
-5.0,10,8.435024
-30.0,20,8.437862
-15.0,8,8.438969
-15.0,17,8.441292
-5.0,7,8.442262
5.0,6,8.443141
-120.0,16,8.445521
30.0,8,8.446683
-90.0,7,8.447662
0.0,8,8.44879
5.0,9,8.450039
0.0,11,8.451553
-25.0,21,8.454415
-85.0,8,8.455644
-100.0,11,8.457201
-35.0,19,8.459824
20.0,12,8.461496
10.0,7,8.462531
-5.0,7,8.463566
-175.0,26,8.467271
-100.0,11,8.468805
20.0,6,8.469731
0.0,11,8.471314
-85.0,11,8.472904
-95.0,12,8.474603
-80.0,9,8.475879
-100.0,11,8.477483
-115.0,23,8.480727
15.0,8,8.481822
50.0,6,8.482668
5.0,9,8.48391
-120.0,19,8.486413
-5.0,10,8.487758
-120.0,62,8.495898
-120.0,10,8.497251
35.0,6,8.498083
-85.0,8,8.499177
-5.0,10,8.500524
-80.0,6,8.501331
-90.0,7,8.502267
-70.0,33,8.776677
5.0,6,8.778445
-120.0,16,8.781292
5.0,6,8.782255
40.0,10,8.784203
5.0,9,8.785594
15.0,8,8.786787
0.0,11,8.788388
5.0,15,8.790816
-5.0,16,8.793098
-5.0,7,8.794127
5.0,6,8.794993
-90.0,7,8.795978
-5.0,7,8.797074
10.0,10,8.798521
5.0,6,8.799407
-5.0,7,8.800406
-10.0,12,8.802079
15.0,5,8.802844
10.0,13,8.804759
20.0,9,8.806077
10.0,10,8.807523
-10.0,9,8.808816
10.0,7,8.809989
95.0,22,8.813082
-80.0,6,8.813928
0.0,8,8.815047
0.0,11,8.816644
125.0,7,8.817752
-5.0,16,8.820002
10.0,10,8.82141
30.0,8,8.822547
135.0,6,8.823412
-5.0,7,8.824397
